node,region,variable,units,CA,BAS,ATS,RAS
Geothermal Flash_IDSA,Indonesia,Process Efficiency,Percent,100,100,100,100
Geothermal Flash_IDSA,Indonesia,Process Share,Share,0,0,0,
Geothermal Flash_IDSA,Indonesia,Real Investment Cost,USD,0,0,0,0
Geothermal Flash_IDSA,Indonesia,Renewable Qualified,Percent,,,,0
Geothermal Flash_IDSA,Indonesia,Salvage Value,U.S. Dollar,0,0,0,0
Geothermal Flash_IDSA,Indonesia,Seasonal Storage Carryover,Yes/No,No,,,
Geothermal Flash_IDSA,Indonesia,Starting Charge,Share,0,,,
Geothermal Flash_IDSA,Indonesia,Stranded Cost,U.S. Dollar,0,0,0,0
Geothermal Flash_IDSA,Indonesia,Variable OM Cost,U.S. Dollar,0,0,0,0
Geothermal ORC,Brunei,Annual Storage Carryover,Yes/No,No,,,
Geothermal ORC,Brunei,Capacity Additions,MW,0,0,0,0
Geothermal ORC,Brunei,Capacity Credit,Percent,Maximum Availability,Maximum Availability,Maximum Availability,Maximum Availability
Geothermal ORC,Brunei,Capacity Retirement,MW,0,0,0,0
Geothermal ORC,Brunei,Capital Cost,U.S. Dollar,"Interp(2020, 4700, 2030, 4400, 2050, 4000) ? Vietnam PDP8; WS1 _x000D_
_x000D_
(binary or condensing)","Interp(2020, 4700, 2030, 4400, 2050, 4000) ? Vietnam PDP8; WS1 _x000D_
_x000D_
(binary or condensing)","Interp(2020, 4700, 2030, 4400, 2050, 4000) ? Vietnam PDP8; WS1 _x000D_
_x000D_
(binary or condensing)","Interp(2020, 4700, 2030, 4400, 2050, 4000) ? Vietnam PDP8; WS1 _x000D_
_x000D_
(binary or condensing)"
Geothermal ORC,Brunei,Dispatch Rule,None,MeritOrderDispatch,MeritOrderDispatch,MeritOrderDispatch,
Geothermal ORC,Brunei,Dispatchable,Yes/No,Yes,,,
Geothermal ORC,Brunei,Endogenous Capacity,Megawatt,0,0,0,
Geothermal ORC,Brunei,Existing Capacity,MW,0,Value(2024),Value(2024),Value(2024)
Geothermal ORC,Brunei,Exogenous Capacity,Megawatt,Existing Capacity[MW] + Capacity Additions[MW],Existing Capacity[MW] + Capacity Additions[MW] - Capacity Retirement[MW],Existing Capacity[MW] + Capacity Additions[MW] - Capacity Retirement[MW],"Max(Existing Capacity[MW] + Capacity Additions[MW] - Capacity Retirement[MW], 0)"
Geothermal ORC,Brunei,First Simulation Year,Years,FirstScenarioYear,FirstScenarioYear,FirstScenarioYear,
Geothermal ORC,Brunei,Fixed OM Cost,U.S. Dollar,"Interp(2020, 20.8, 2030, 19.2, 2050, 17.6) ? Vietnam PDP8; WS1_x000D_
_x000D_
binary or condensing","Interp(2020, 20.8, 2030, 19.2, 2050, 17.6) ? Vietnam PDP8; WS1_x000D_
_x000D_
binary or condensing","Interp(2020, 20.8, 2030, 19.2, 2050, 17.6) ? Vietnam PDP8; WS1_x000D_
_x000D_
binary or condensing","Interp(2020, 20.8, 2030, 19.2, 2050, 17.6) ? Vietnam PDP8; WS1_x000D_
_x000D_
binary or condensing"
Geothermal ORC,Brunei,Full Load Hours,Hours,0,0,0,0
Geothermal ORC,Brunei,Historical Capacity Factor,percentage,"Min(Historical Production[GWh] / (Exogenous Capacity[MW] / 1000 * 8760) * 100, 100)","Min(Historical Production[GWh] / (Exogenous Capacity[MW] / 1000 * 8760) * 100, 100)","Min(Historical Production[GWh] / (Exogenous Capacity[MW] / 1000 * 8760) * 100, 100)","Min(Value(Historical Production[GWh],   LastHistoricalYear) / (Value(Exogenous Capacity[MW],   LastHistoricalYear) / 1000 * 8760) * 100, 100)"
Geothermal ORC,Brunei,Historical Production,Gigawatt-Hour,0,0,0,
Geothermal ORC,Brunei,Hourly Storage Carryover,Yes/No,Yes,,,
Geothermal ORC,Brunei,Interest Rate,Percent,DiscountRate,DiscountRate,DiscountRate,DiscountRate
Geothermal ORC,Brunei,Lifetime,Years,30 ? NREL ATB 2023,30 ? NREL ATB 2023,30 ? NREL ATB 2023,30 ? NREL ATB 2023
Geothermal ORC,Brunei,Maximum Availability,Percent,"80 ? NREL, ATB 2023","80 ? NREL, ATB 2023","80 ? NREL, ATB 2023","80 ? NREL, ATB 2023"
Geothermal ORC,Brunei,Maximum Capacity,Megawatt,,,,1000000
Geothermal ORC,Brunei,Maximum Capacity Addition,Megawatt,,,,0
Geothermal ORC,Brunei,Maximum Production,Gigajoule,,,,Unlimited
Geothermal ORC,Brunei,Maximum_Share_of_Production,%,,100,100,100
Geothermal ORC,Brunei,Merit Order,Merit Order,1,1,1,
Geothermal ORC,Brunei,Minimum Capacity,Megawatt,,,,0
Geothermal ORC,Brunei,Minimum Capacity Addition,Megawatt,,,,0
Geothermal ORC,Brunei,Minimum Charge,Share,0,0,0,0
Geothermal ORC,Brunei,Minimum Production,Gigajoule,,,,0
Geothermal ORC,Brunei,Minimum Share of Production,Percent,,,,0
Geothermal ORC,Brunei,Minimum Utilization,Percent,0,0,0,"Min(Interp(FirstScenarioYear, Value(Historical Capacity Factor[percentage],  LastHistoricalYear), FirstScenarioYear + Key\Modeling Assumptions\Incumbent Generator DIspatch Phaseout:Activity Level, 0), Maximum Availability)"
Geothermal ORC,Brunei,Node,ID,BranchID(Key\Transmission\Nodes\Brunei:Activity Level[NA]),BranchID(Key\Transmission\Nodes\Brunei:Activity Level[NA]),BranchID(Key\Transmission\Nodes\Brunei:Activity Level[NA]),BranchID(Key\Transmission\Nodes\Brunei:Activity Level[NA])
Geothermal ORC,Brunei,Optimized New Capacity,Megawatt,,,,0 ?Optimized on 07/02/2026 11:41 (NEMO/CPLEX)
Geothermal ORC,Brunei,Process Efficiency,Percent,"Interp(2020, 10, 2030, 11, 2050, 12) ? Vietnam PDP8; WS1","Interp(2020, 10, 2030, 11, 2050, 12) ? Vietnam PDP8; WS1","Interp(2020, 10, 2030, 11, 2050, 12) ? Vietnam PDP8; WS1","Interp(2020, 10, 2030, 11, 2050, 12) ? Vietnam PDP8; WS1"
Geothermal ORC,Brunei,Process Share,Share,0,0,0,
Geothermal ORC,Brunei,Real Investment Cost,USD,Capital Cost[Thousand USD/MW] * (Capacity Additions[MW]) / 1000,Capital Cost[Thousand USD/MW] * (Capacity Additions[MW]) / 1000,Capital Cost[Thousand USD/MW] * (Capacity Additions[MW]) / 1000,Capital Cost[Thousand USD/MW] * (Capacity Additions[MW]) / 1000
Geothermal ORC,Brunei,Renewable Qualified,Percent,,,,100
Geothermal ORC,Brunei,Salvage Value,U.S. Dollar,0,0,0,0
Geothermal ORC,Brunei,Seasonal Storage Carryover,Yes/No,No,,,
Geothermal ORC,Brunei,Starting Charge,Share,0,,,
Geothermal ORC,Brunei,Stranded Cost,U.S. Dollar,0,0,0,0
Geothermal ORC,Brunei,Variable OM Cost,U.S. Dollar,"Interp(2020, 0.38, 2030, 0.36, 2050, 0.33) ? Vietnam PDP8; WS1 binary or condensing","Interp(2020, 0.38, 2030, 0.36, 2050, 0.33) ? Vietnam PDP8; WS1 binary or condensing","Interp(2020, 0.38, 2030, 0.36, 2050, 0.33) ? Vietnam PDP8; WS1 binary or condensing","Interp(2020, 0.38, 2030, 0.36, 2050, 0.33) ? Vietnam PDP8; WS1 binary or condensing"
Geothermal ORC,Cambodia,Annual Storage Carryover,Yes/No,No,,,
Geothermal ORC,Cambodia,Capacity Additions,MW,0,0,0,0
Geothermal ORC,Cambodia,Capacity Credit,Percent,Maximum Availability,Maximum Availability,Maximum Availability,Maximum Availability
Geothermal ORC,Cambodia,Capacity Retirement,MW,0,0,0,0
Geothermal ORC,Cambodia,Capital Cost,U.S. Dollar,"Interp(2020, 4700, 2030, 4400, 2050, 4000) ? Vietnam PDP8; WS1 _x000D_
_x000D_
(binary or condensing)","Interp(2020, 4700, 2030, 4400, 2050, 4000) ? Vietnam PDP8; WS1 _x000D_
_x000D_
(binary or condensing)","Interp(2020, 4700, 2030, 4400, 2050, 4000) ? Vietnam PDP8; WS1 _x000D_
_x000D_
(binary or condensing)","Interp(2020, 4700, 2030, 4400, 2050, 4000) ? Vietnam PDP8; WS1 _x000D_
_x000D_
(binary or condensing)"
Geothermal ORC,Cambodia,Dispatch Rule,None,MeritOrderDispatch,MeritOrderDispatch,MeritOrderDispatch,
Geothermal ORC,Cambodia,Dispatchable,Yes/No,Yes,,,
Geothermal ORC,Cambodia,Endogenous Capacity,Megawatt,0,0,0,
Geothermal ORC,Cambodia,Existing Capacity,MW,0,Value(2024),Value(2024),Value(2024)
Geothermal ORC,Cambodia,Exogenous Capacity,Megawatt,Existing Capacity[MW] + Capacity Additions[MW],Existing Capacity[MW] + Capacity Additions[MW] - Capacity Retirement[MW],Existing Capacity[MW] + Capacity Additions[MW] - Capacity Retirement[MW],"Max(Existing Capacity[MW] + Capacity Additions[MW] - Capacity Retirement[MW], 0)"
Geothermal ORC,Cambodia,First Simulation Year,Years,FirstScenarioYear,FirstScenarioYear,FirstScenarioYear,
Geothermal ORC,Cambodia,Fixed OM Cost,U.S. Dollar,"Interp(2020, 20.8, 2030, 19.2, 2050, 17.6) ? Vietnam PDP8; WS1_x000D_
_x000D_
binary or condensing","Interp(2020, 20.8, 2030, 19.2, 2050, 17.6) ? Vietnam PDP8; WS1_x000D_
_x000D_
binary or condensing","Interp(2020, 20.8, 2030, 19.2, 2050, 17.6) ? Vietnam PDP8; WS1_x000D_
_x000D_
binary or condensing","Interp(2020, 20.8, 2030, 19.2, 2050, 17.6) ? Vietnam PDP8; WS1_x000D_
_x000D_
binary or condensing"
Geothermal ORC,Cambodia,Full Load Hours,Hours,0,0,0,0
Geothermal ORC,Cambodia,Historical Capacity Factor,percentage,"Min(Historical Production[GWh] / (Exogenous Capacity[MW] / 1000 * 8760) * 100, 100)","Min(Historical Production[GWh] / (Exogenous Capacity[MW] / 1000 * 8760) * 100, 100)","Min(Historical Production[GWh] / (Exogenous Capacity[MW] / 1000 * 8760) * 100, 100)","Min(Value(Historical Production[GWh],   LastHistoricalYear) / (Value(Exogenous Capacity[MW],   LastHistoricalYear) / 1000 * 8760) * 100, 100)"
Geothermal ORC,Cambodia,Historical Production,Gigawatt-Hour,0,0,0,
Geothermal ORC,Cambodia,Hourly Storage Carryover,Yes/No,Yes,,,
Geothermal ORC,Cambodia,Interest Rate,Percent,DiscountRate,DiscountRate,DiscountRate,DiscountRate
Geothermal ORC,Cambodia,Lifetime,Years,30 ? NREL ATB 2023,30 ? NREL ATB 2023,30 ? NREL ATB 2023,30 ? NREL ATB 2023
Geothermal ORC,Cambodia,Maximum Availability,Percent,"80 ? NREL, ATB 2023","80 ? NREL, ATB 2023","80 ? NREL, ATB 2023","80 ? NREL, ATB 2023"
Geothermal ORC,Cambodia,Maximum Capacity,Megawatt,,,,1000000
Geothermal ORC,Cambodia,Maximum Capacity Addition,Megawatt,,,,Geothermal Flash:Maximum Capacity Addition[MW]
Geothermal ORC,Cambodia,Maximum Production,Gigajoule,,,,Unlimited
Geothermal ORC,Cambodia,Maximum_Share_of_Production,%,,100,100,100
Geothermal ORC,Cambodia,Merit Order,Merit Order,1,1,1,
Geothermal ORC,Cambodia,Minimum Capacity,Megawatt,,,,0
Geothermal ORC,Cambodia,Minimum Capacity Addition,Megawatt,,,,0
Geothermal ORC,Cambodia,Minimum Charge,Share,0,0,0,0
Geothermal ORC,Cambodia,Minimum Production,Gigajoule,,,,0
Geothermal ORC,Cambodia,Minimum Share of Production,Percent,,,,0
Geothermal ORC,Cambodia,Minimum Utilization,Percent,0,0,0,"Min(Interp(FirstScenarioYear, Value(Historical Capacity Factor[percentage],  LastHistoricalYear), FirstScenarioYear + Key\Modeling Assumptions\Incumbent Generator DIspatch Phaseout:Activity Level, 0), Maximum Availability)"
Geothermal ORC,Cambodia,Node,ID,BranchID(Key\Transmission\Nodes\Cambodia:Activity Level[NA]),BranchID(Key\Transmission\Nodes\Cambodia:Activity Level[NA]),BranchID(Key\Transmission\Nodes\Cambodia:Activity Level[NA]),BranchID(Key\Transmission\Nodes\Cambodia:Activity Level[NA])
Geothermal ORC,Cambodia,Optimized New Capacity,Megawatt,,,,0 ?Optimized on 07/02/2026 11:41 (NEMO/CPLEX)
Geothermal ORC,Cambodia,Process Efficiency,Percent,"Interp(2020, 10, 2030, 11, 2050, 12) ? Vietnam PDP8; WS1","Interp(2020, 10, 2030, 11, 2050, 12) ? Vietnam PDP8; WS1","Interp(2020, 10, 2030, 11, 2050, 12) ? Vietnam PDP8; WS1","Interp(2020, 10, 2030, 11, 2050, 12) ? Vietnam PDP8; WS1"
Geothermal ORC,Cambodia,Process Share,Share,0,0,0,
Geothermal ORC,Cambodia,Real Investment Cost,USD,Capital Cost[Thousand USD/MW] * (Capacity Additions[MW]) / 1000,Capital Cost[Thousand USD/MW] * (Capacity Additions[MW]) / 1000,Capital Cost[Thousand USD/MW] * (Capacity Additions[MW]) / 1000,Capital Cost[Thousand USD/MW] * (Capacity Additions[MW]) / 1000
Geothermal ORC,Cambodia,Renewable Qualified,Percent,,,,100
Geothermal ORC,Cambodia,Salvage Value,U.S. Dollar,0,0,0,0
Geothermal ORC,Cambodia,Seasonal Storage Carryover,Yes/No,No,,,
Geothermal ORC,Cambodia,Starting Charge,Share,0,,,
Geothermal ORC,Cambodia,Stranded Cost,U.S. Dollar,0,0,0,0
Geothermal ORC,Cambodia,Variable OM Cost,U.S. Dollar,"Interp(2020, 0.38, 2030, 0.36, 2050, 0.33) ? Vietnam PDP8; WS1 binary or condensing","Interp(2020, 0.38, 2030, 0.36, 2050, 0.33) ? Vietnam PDP8; WS1 binary or condensing","Interp(2020, 0.38, 2030, 0.36, 2050, 0.33) ? Vietnam PDP8; WS1 binary or condensing","Interp(2020, 0.38, 2030, 0.36, 2050, 0.33) ? Vietnam PDP8; WS1 binary or condensing"
Geothermal ORC,Indonesia,Annual Storage Carryover,Yes/No,No,,,
Geothermal ORC,Indonesia,Capacity Additions,MW,0,0,0,0
Geothermal ORC,Indonesia,Capacity Credit,Percent,Maximum Availability,Maximum Availability,Maximum Availability,Maximum Availability
Geothermal ORC,Indonesia,Capacity Retirement,MW,0,0,0,0
Geothermal ORC,Indonesia,Capital Cost,U.S. Dollar,"Interp(2022, 5500, 2030, 5500, 2050, 4950) ? 2024 Technology Data for the Indonesian Power Sector (Danish Energy) - price Year 2022","Interp(2022, 5500, 2030, 5500, 2050, 4950) ? 2024 Technology Data for the Indonesian Power Sector (Danish Energy) - price Year 2022","Interp(2022, 5500, 2030, 5500, 2050, 4950) ? 2024 Technology Data for the Indonesian Power Sector (Danish Energy) - price Year 2022","Interp(2022, 5500, 2030, 5500, 2050, 4950) ? 2024 Technology Data for the Indonesian Power Sector (Danish Energy) - price Year 2022"
Geothermal ORC,Indonesia,Dispatch Rule,None,MeritOrderDispatch,MeritOrderDispatch,MeritOrderDispatch,
Geothermal ORC,Indonesia,Dispatchable,Yes/No,Yes,,,
Geothermal ORC,Indonesia,Endogenous Capacity,Megawatt,0,0,0,
Geothermal ORC,Indonesia,Existing Capacity,MW,0,Value(2024),Value(2024),Value(2024)
Geothermal ORC,Indonesia,Exogenous Capacity,Megawatt,Existing Capacity[MW] + Capacity Additions[MW],Existing Capacity[MW] + Capacity Additions[MW] - Capacity Retirement[MW],Existing Capacity[MW] + Capacity Additions[MW] - Capacity Retirement[MW],"Max(Existing Capacity[MW] + Capacity Additions[MW] - Capacity Retirement[MW], 0)"
Geothermal ORC,Indonesia,First Simulation Year,Years,FirstScenarioYear,FirstScenarioYear,FirstScenarioYear,
Geothermal ORC,Indonesia,Fixed OM Cost,U.S. Dollar,"Interp(2022, 145, 2030, 145, 2050, 130.5) ? 2024 Technology Data for the Indonesian Power Sector (Danish Energy) - price Year 2022","Interp(2022, 145, 2030, 145, 2050, 130.5) ? 2024 Technology Data for the Indonesian Power Sector (Danish Energy) - price Year 2022","Interp(2022, 145, 2030, 145, 2050, 130.5) ? 2024 Technology Data for the Indonesian Power Sector (Danish Energy) - price Year 2022","Interp(2022, 145, 2030, 145, 2050, 130.5) ? 2024 Technology Data for the Indonesian Power Sector (Danish Energy) - price Year 2022"
Geothermal ORC,Indonesia,Full Load Hours,Hours,0,0,0,0
Geothermal ORC,Indonesia,Historical Capacity Factor,percentage,"Min(Historical Production[GWh] / (Exogenous Capacity[MW] / 1000 * 8760) * 100, 100)","Min(Historical Production[GWh] / (Exogenous Capacity[MW] / 1000 * 8760) * 100, 100)","Min(Historical Production[GWh] / (Exogenous Capacity[MW] / 1000 * 8760) * 100, 100)","Min(Value(Historical Production[GWh],   LastHistoricalYear) / (Value(Exogenous Capacity[MW],   LastHistoricalYear) / 1000 * 8760) * 100, 100)"
Geothermal ORC,Indonesia,Historical Production,Gigawatt-Hour,0,0,0,
Geothermal ORC,Indonesia,Hourly Storage Carryover,Yes/No,Yes,,,
Geothermal ORC,Indonesia,Interest Rate,Percent,DiscountRate,DiscountRate,DiscountRate,DiscountRate
Geothermal ORC,Indonesia,Lifetime,Years,30 ? NREL ATB 2023,30 ? NREL ATB 2023,30 ? NREL ATB 2023,30 ? NREL ATB 2023
Geothermal ORC,Indonesia,Maximum Availability,Percent,"80 ? NREL, ATB 2023","80 ? NREL, ATB 2023","80 ? NREL, ATB 2023","80 ? NREL, ATB 2023"
Geothermal ORC,Indonesia,Maximum Capacity,Megawatt,,,,1000000
Geothermal ORC,Indonesia,Maximum Capacity Addition,Megawatt,,,,"Interp(BaseYear, 0, 2023, 300, 2050, 1000) ? Expression for Geothermal Flash in Indonesia"
Geothermal ORC,Indonesia,Maximum Production,Gigajoule,,,,Unlimited
Geothermal ORC,Indonesia,Maximum_Share_of_Production,%,,100,100,100
Geothermal ORC,Indonesia,Merit Order,Merit Order,1,1,1,
Geothermal ORC,Indonesia,Minimum Capacity,Megawatt,,,,0
Geothermal ORC,Indonesia,Minimum Capacity Addition,Megawatt,,,,0
Geothermal ORC,Indonesia,Minimum Charge,Share,0,0,0,0
Geothermal ORC,Indonesia,Minimum Production,Gigajoule,,,,0
Geothermal ORC,Indonesia,Minimum Share of Production,Percent,,,,0
Geothermal ORC,Indonesia,Minimum Utilization,Percent,0,0,0,"Min(Interp(FirstScenarioYear, Value(Historical Capacity Factor[percentage],  LastHistoricalYear), FirstScenarioYear + Key\Modeling Assumptions\Incumbent Generator DIspatch Phaseout:Activity Level, 0), Maximum Availability)"
Geothermal ORC,Indonesia,Node,ID,BranchID(Key\Transmission\Nodes\Indonesia:Activity Level[NA]),BranchID(Key\Transmission\Nodes\Indonesia:Activity Level[NA]),BranchID(Key\Transmission\Nodes\Indonesia:Activity Level[NA]),BranchID(Key\Transmission\Nodes\Indonesia:Activity Level[NA])
Geothermal ORC,Indonesia,Optimized New Capacity,Megawatt,,,,"Data(2030, 2407.407, 2040, 7407.407, 2050, 10000, 2060, 10000) ?Optimized on 07/02/2026 11:41 (NEMO/CPLEX)"
Geothermal ORC,Indonesia,Process Efficiency,Percent,"Interp(2020, 10, 2030, 11, 2050, 12) ? Vietnam PDP8; WS1","Interp(2020, 10, 2030, 11, 2050, 12) ? Vietnam PDP8; WS1","Interp(2020, 10, 2030, 11, 2050, 12) ? Vietnam PDP8; WS1","Interp(2020, 10, 2030, 11, 2050, 12) ? Vietnam PDP8; WS1"
Geothermal ORC,Indonesia,Process Share,Share,0,0,0,
Geothermal ORC,Indonesia,Real Investment Cost,USD,Capital Cost[Thousand USD/MW] * (Capacity Additions[MW]) / 1000,Capital Cost[Thousand USD/MW] * (Capacity Additions[MW]) / 1000,Capital Cost[Thousand USD/MW] * (Capacity Additions[MW]) / 1000,Capital Cost[Thousand USD/MW] * (Capacity Additions[MW]) / 1000
Geothermal ORC,Indonesia,Renewable Qualified,Percent,,,,100
Geothermal ORC,Indonesia,Salvage Value,U.S. Dollar,0,0,0,0
Geothermal ORC,Indonesia,Seasonal Storage Carryover,Yes/No,No,,,
Geothermal ORC,Indonesia,Starting Charge,Share,0,,,
Geothermal ORC,Indonesia,Stranded Cost,U.S. Dollar,0,0,0,0
Geothermal ORC,Indonesia,Variable OM Cost,U.S. Dollar,"Interp(2022, 0.39, 2030, 0.39, 2050, 0.35) ? 2024 Technology Data for the Indonesian Power Sector (Danish Energy) - price Year 2022","Interp(2022, 0.39, 2030, 0.39, 2050, 0.35) ? 2024 Technology Data for the Indonesian Power Sector (Danish Energy) - price Year 2022","Interp(2022, 0.39, 2030, 0.39, 2050, 0.35) ? 2024 Technology Data for the Indonesian Power Sector (Danish Energy) - price Year 2022","Interp(2022, 0.39, 2030, 0.39, 2050, 0.35) ? 2024 Technology Data for the Indonesian Power Sector (Danish Energy) - price Year 2022"
Geothermal ORC,Laos,Annual Storage Carryover,Yes/No,No,,,
Geothermal ORC,Laos,Capacity Additions,MW,0,0,0,0
Geothermal ORC,Laos,Capacity Credit,Percent,Maximum Availability,Maximum Availability,Maximum Availability,Maximum Availability
Geothermal ORC,Laos,Capacity Retirement,MW,0,0,0,0
Geothermal ORC,Laos,Capital Cost,U.S. Dollar,"Interp(2020, 4700, 2030, 4400, 2050, 4000) ? Vietnam PDP8; WS1 _x000D_
_x000D_
(binary or condensing)","Interp(2020, 4700, 2030, 4400, 2050, 4000) ? Vietnam PDP8; WS1 _x000D_
_x000D_
(binary or condensing)","Interp(2020, 4700, 2030, 4400, 2050, 4000) ? Vietnam PDP8; WS1 _x000D_
_x000D_
(binary or condensing)","Interp(2020, 4700, 2030, 4400, 2050, 4000) ? Vietnam PDP8; WS1 _x000D_
_x000D_
(binary or condensing)"
Geothermal ORC,Laos,Dispatch Rule,None,MeritOrderDispatch,MeritOrderDispatch,MeritOrderDispatch,
Geothermal ORC,Laos,Dispatchable,Yes/No,Yes,,,
Geothermal ORC,Laos,Endogenous Capacity,Megawatt,0,0,0,
Geothermal ORC,Laos,Existing Capacity,MW,0,Value(2024),Value(2024),Value(2024)
Geothermal ORC,Laos,Exogenous Capacity,Megawatt,Existing Capacity[MW] + Capacity Additions[MW],Existing Capacity[MW] + Capacity Additions[MW] - Capacity Retirement[MW],Existing Capacity[MW] + Capacity Additions[MW] - Capacity Retirement[MW],"Max(Existing Capacity[MW] + Capacity Additions[MW] - Capacity Retirement[MW], 0)"
Geothermal ORC,Laos,First Simulation Year,Years,FirstScenarioYear,FirstScenarioYear,FirstScenarioYear,
Geothermal ORC,Laos,Fixed OM Cost,U.S. Dollar,"Interp(2020, 20.8, 2030, 19.2, 2050, 17.6) ? Vietnam PDP8; WS1_x000D_
_x000D_
binary or condensing","Interp(2020, 20.8, 2030, 19.2, 2050, 17.6) ? Vietnam PDP8; WS1_x000D_
_x000D_
binary or condensing","Interp(2020, 20.8, 2030, 19.2, 2050, 17.6) ? Vietnam PDP8; WS1_x000D_
_x000D_
binary or condensing","Interp(2020, 20.8, 2030, 19.2, 2050, 17.6) ? Vietnam PDP8; WS1_x000D_
_x000D_
binary or condensing"
Geothermal ORC,Laos,Full Load Hours,Hours,0,0,0,0
Geothermal ORC,Laos,Historical Capacity Factor,percentage,"Min(Historical Production[GWh] / (Exogenous Capacity[MW] / 1000 * 8760) * 100, 100)","Min(Historical Production[GWh] / (Exogenous Capacity[MW] / 1000 * 8760) * 100, 100)","Min(Historical Production[GWh] / (Exogenous Capacity[MW] / 1000 * 8760) * 100, 100)","Min(Value(Historical Production[GWh],   LastHistoricalYear) / (Value(Exogenous Capacity[MW],   LastHistoricalYear) / 1000 * 8760) * 100, 100)"
Geothermal ORC,Laos,Historical Production,Gigawatt-Hour,0,0,0,
Geothermal ORC,Laos,Hourly Storage Carryover,Yes/No,Yes,,,
Geothermal ORC,Laos,Interest Rate,Percent,DiscountRate,DiscountRate,DiscountRate,DiscountRate
Geothermal ORC,Laos,Lifetime,Years,30 ? NREL ATB 2023,30 ? NREL ATB 2023,30 ? NREL ATB 2023,30 ? NREL ATB 2023
Geothermal ORC,Laos,Maximum Availability,Percent,"80 ? NREL, ATB 2023","80 ? NREL, ATB 2023","80 ? NREL, ATB 2023","80 ? NREL, ATB 2023"
Geothermal ORC,Laos,Maximum Capacity,Megawatt,,,,0
Geothermal ORC,Laos,Maximum Capacity Addition,Megawatt,,,,Geothermal Flash:Maximum Capacity Addition[MW]
Geothermal ORC,Laos,Maximum Production,Gigajoule,,,,Unlimited
Geothermal ORC,Laos,Maximum_Share_of_Production,%,,100,100,100
Geothermal ORC,Laos,Merit Order,Merit Order,1,1,1,
Geothermal ORC,Laos,Minimum Capacity,Megawatt,,,,0
Geothermal ORC,Laos,Minimum Capacity Addition,Megawatt,,,,0
Geothermal ORC,Laos,Minimum Charge,Share,0,0,0,0
Geothermal ORC,Laos,Minimum Production,Gigajoule,,,,0
Geothermal ORC,Laos,Minimum Share of Production,Percent,,,,0
Geothermal ORC,Laos,Minimum Utilization,Percent,0,0,0,"Min(Interp(FirstScenarioYear, Value(Historical Capacity Factor[percentage],  LastHistoricalYear), FirstScenarioYear + Key\Modeling Assumptions\Incumbent Generator DIspatch Phaseout:Activity Level, 0), Maximum Availability)"
Geothermal ORC,Laos,Node,ID,BranchID(Key\Transmission\Nodes\Laos:Activity Level[NA]),BranchID(Key\Transmission\Nodes\Laos:Activity Level[NA]),BranchID(Key\Transmission\Nodes\Laos:Activity Level[NA]),BranchID(Key\Transmission\Nodes\Laos:Activity Level[NA])
Geothermal ORC,Laos,Optimized New Capacity,Megawatt,,,,0 ?Optimized on 07/02/2026 11:41 (NEMO/CPLEX)
Geothermal ORC,Laos,Process Efficiency,Percent,"Interp(2020, 10, 2030, 11, 2050, 12) ? Vietnam PDP8; WS1","Interp(2020, 10, 2030, 11, 2050, 12) ? Vietnam PDP8; WS1","Interp(2020, 10, 2030, 11, 2050, 12) ? Vietnam PDP8; WS1","Interp(2020, 10, 2030, 11, 2050, 12) ? Vietnam PDP8; WS1"
Geothermal ORC,Laos,Process Share,Share,0,0,0,
Geothermal ORC,Laos,Real Investment Cost,USD,Capital Cost[Thousand USD/MW] * (Capacity Additions[MW]) / 1000,Capital Cost[Thousand USD/MW] * (Capacity Additions[MW]) / 1000,Capital Cost[Thousand USD/MW] * (Capacity Additions[MW]) / 1000,Capital Cost[Thousand USD/MW] * (Capacity Additions[MW]) / 1000
Geothermal ORC,Laos,Renewable Qualified,Percent,,,,100
Geothermal ORC,Laos,Salvage Value,U.S. Dollar,0,0,0,0
Geothermal ORC,Laos,Seasonal Storage Carryover,Yes/No,No,,,
Geothermal ORC,Laos,Starting Charge,Share,0,,,
Geothermal ORC,Laos,Stranded Cost,U.S. Dollar,0,0,0,0
Geothermal ORC,Laos,Variable OM Cost,U.S. Dollar,"Interp(2020, 0.38, 2030, 0.36, 2050, 0.33) ? Vietnam PDP8; WS1 binary or condensing","Interp(2020, 0.38, 2030, 0.36, 2050, 0.33) ? Vietnam PDP8; WS1 binary or condensing","Interp(2020, 0.38, 2030, 0.36, 2050, 0.33) ? Vietnam PDP8; WS1 binary or condensing","Interp(2020, 0.38, 2030, 0.36, 2050, 0.33) ? Vietnam PDP8; WS1 binary or condensing"
Geothermal ORC,Malaysia,Annual Storage Carryover,Yes/No,No,,,
Geothermal ORC,Malaysia,Capacity Additions,MW,0,0,0,0
Geothermal ORC,Malaysia,Capacity Credit,Percent,Maximum Availability,Maximum Availability,Maximum Availability,Maximum Availability
Geothermal ORC,Malaysia,Capacity Retirement,MW,0,0,0,0
