branch,branch_type,variable,unit
Transformation\Centralized Electricity Generation\Processes\Gas Engine_MYPE,Transformation Process,Fixed OM Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Gas Engine_MYSB,Transformation Process,Lifetime,Years
Transformation\Centralized Electricity Generation\Processes\Gas Engine_MYSB,Transformation Process,Interest Rate,Percent
Transformation\Centralized Electricity Generation\Processes\Gas Engine_MYSB,Transformation Process,Exogenous Capacity,Megawatt
Transformation\Centralized Electricity Generation\Processes\Gas Engine_MYSB,Transformation Process,Maximum Availability,Percent
Transformation\Centralized Electricity Generation\Processes\Gas Engine_MYSB,Transformation Process,Minimum Utilization,Percent
Transformation\Centralized Electricity Generation\Processes\Gas Engine_MYSB,Transformation Process,Capacity Credit,Percent
Transformation\Centralized Electricity Generation\Processes\Gas Engine_MYSB,Transformation Process,Process Efficiency,Percent
Transformation\Centralized Electricity Generation\Processes\Gas Engine_MYSB,Transformation Process,Variable OM Cost,U.S. Dollar/Megawatt-Hour
Transformation\Centralized Electricity Generation\Processes\Gas Engine_MYSB,Transformation Process,Capital Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Gas Engine_MYSB,Transformation Process,Fixed OM Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Gas Engine_MYSR,Transformation Process,Lifetime,Years
Transformation\Centralized Electricity Generation\Processes\Gas Engine_MYSR,Transformation Process,Interest Rate,Percent
Transformation\Centralized Electricity Generation\Processes\Gas Engine_MYSR,Transformation Process,Exogenous Capacity,Megawatt
Transformation\Centralized Electricity Generation\Processes\Gas Engine_MYSR,Transformation Process,Maximum Availability,Percent
Transformation\Centralized Electricity Generation\Processes\Gas Engine_MYSR,Transformation Process,Minimum Utilization,Percent
Transformation\Centralized Electricity Generation\Processes\Gas Engine_MYSR,Transformation Process,Capacity Credit,Percent
Transformation\Centralized Electricity Generation\Processes\Gas Engine_MYSR,Transformation Process,Process Efficiency,Percent
Transformation\Centralized Electricity Generation\Processes\Gas Engine_MYSR,Transformation Process,Variable OM Cost,U.S. Dollar/Megawatt-Hour
Transformation\Centralized Electricity Generation\Processes\Gas Engine_MYSR,Transformation Process,Capital Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Gas Engine_MYSR,Transformation Process,Fixed OM Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Gas Turbine_MYSB,Transformation Process,Lifetime,Years
Transformation\Centralized Electricity Generation\Processes\Gas Turbine_MYSB,Transformation Process,Interest Rate,Percent
Transformation\Centralized Electricity Generation\Processes\Gas Turbine_MYSB,Transformation Process,Exogenous Capacity,Megawatt
Transformation\Centralized Electricity Generation\Processes\Gas Turbine_MYSB,Transformation Process,Maximum Availability,Percent
Transformation\Centralized Electricity Generation\Processes\Gas Turbine_MYSB,Transformation Process,Minimum Utilization,Percent
Transformation\Centralized Electricity Generation\Processes\Gas Turbine_MYSB,Transformation Process,Capacity Credit,Percent
Transformation\Centralized Electricity Generation\Processes\Gas Turbine_MYSB,Transformation Process,Process Efficiency,Percent
Transformation\Centralized Electricity Generation\Processes\Gas Turbine_MYSB,Transformation Process,Variable OM Cost,U.S. Dollar/Megawatt-Hour
Transformation\Centralized Electricity Generation\Processes\Gas Turbine_MYSB,Transformation Process,Capital Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Gas Turbine_MYSB,Transformation Process,Fixed OM Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Gas Turbine_MYSR,Transformation Process,Lifetime,Years
Transformation\Centralized Electricity Generation\Processes\Gas Turbine_MYSR,Transformation Process,Interest Rate,Percent
Transformation\Centralized Electricity Generation\Processes\Gas Turbine_MYSR,Transformation Process,Exogenous Capacity,Megawatt
Transformation\Centralized Electricity Generation\Processes\Gas Turbine_MYSR,Transformation Process,Maximum Availability,Percent
Transformation\Centralized Electricity Generation\Processes\Gas Turbine_MYSR,Transformation Process,Minimum Utilization,Percent
Transformation\Centralized Electricity Generation\Processes\Gas Turbine_MYSR,Transformation Process,Capacity Credit,Percent
Transformation\Centralized Electricity Generation\Processes\Gas Turbine_MYSR,Transformation Process,Process Efficiency,Percent
Transformation\Centralized Electricity Generation\Processes\Gas Turbine_MYSR,Transformation Process,Variable OM Cost,U.S. Dollar/Megawatt-Hour
Transformation\Centralized Electricity Generation\Processes\Gas Turbine_MYSR,Transformation Process,Capital Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Gas Turbine_MYSR,Transformation Process,Fixed OM Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Coal Subcritical_MYPE,Transformation Process,Lifetime,Years
Transformation\Centralized Electricity Generation\Processes\Coal Subcritical_MYPE,Transformation Process,Interest Rate,Percent
Transformation\Centralized Electricity Generation\Processes\Coal Subcritical_MYPE,Transformation Process,Exogenous Capacity,Megawatt
Transformation\Centralized Electricity Generation\Processes\Coal Subcritical_MYPE,Transformation Process,Maximum Availability,Percent
Transformation\Centralized Electricity Generation\Processes\Coal Subcritical_MYPE,Transformation Process,Minimum Utilization,Percent
Transformation\Centralized Electricity Generation\Processes\Coal Subcritical_MYPE,Transformation Process,Capacity Credit,Percent
Transformation\Centralized Electricity Generation\Processes\Coal Subcritical_MYPE,Transformation Process,Process Efficiency,Percent
Transformation\Centralized Electricity Generation\Processes\Coal Subcritical_MYPE,Transformation Process,Variable OM Cost,U.S. Dollar/Megawatt-Hour
Transformation\Centralized Electricity Generation\Processes\Coal Subcritical_MYPE,Transformation Process,Capital Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Coal Subcritical_MYPE,Transformation Process,Fixed OM Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Coal Subcritical_MYSR,Transformation Process,Lifetime,Years
Transformation\Centralized Electricity Generation\Processes\Coal Subcritical_MYSR,Transformation Process,Interest Rate,Percent
Transformation\Centralized Electricity Generation\Processes\Coal Subcritical_MYSR,Transformation Process,Exogenous Capacity,Megawatt
Transformation\Centralized Electricity Generation\Processes\Coal Subcritical_MYSR,Transformation Process,Maximum Availability,Percent
Transformation\Centralized Electricity Generation\Processes\Coal Subcritical_MYSR,Transformation Process,Minimum Utilization,Percent
Transformation\Centralized Electricity Generation\Processes\Coal Subcritical_MYSR,Transformation Process,Capacity Credit,Percent
Transformation\Centralized Electricity Generation\Processes\Coal Subcritical_MYSR,Transformation Process,Process Efficiency,Percent
Transformation\Centralized Electricity Generation\Processes\Coal Subcritical_MYSR,Transformation Process,Variable OM Cost,U.S. Dollar/Megawatt-Hour
Transformation\Centralized Electricity Generation\Processes\Coal Subcritical_MYSR,Transformation Process,Capital Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Coal Subcritical_MYSR,Transformation Process,Fixed OM Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle_MYPE,Transformation Process,Lifetime,Years
Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle_MYPE,Transformation Process,Interest Rate,Percent
Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle_MYPE,Transformation Process,Exogenous Capacity,Megawatt
Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle_MYPE,Transformation Process,Maximum Availability,Percent
Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle_MYPE,Transformation Process,Minimum Utilization,Percent
Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle_MYPE,Transformation Process,Capacity Credit,Percent
Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle_MYPE,Transformation Process,Process Efficiency,Percent
Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle_MYPE,Transformation Process,Variable OM Cost,U.S. Dollar/Megawatt-Hour
Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle_MYPE,Transformation Process,Capital Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle_MYPE,Transformation Process,Fixed OM Cost,Thousand U.S. Dollar/Megawatt
